"TaxaName","TaxaTSN","TaxaNum","AreaCode"
"Costaria costata","11250",1,"Barkley"
"Endocladia muricata","12286",2,"Barkley"
"Fucus gardneri","11341",3,"Barkley"
"Halosaccion glandiforme","12824",4,"Barkley"
"Saccharina sessile","11255",5,"Barkley"
"Mastocarpus papillatus","san12",6,"Barkley"
"Microcladia","13080",7,"Barkley"
"Neorhodomela","san21",8,"Barkley"
"Odonthalia","13583",9,"Barkley"
"Pilayella littoralis","10824",10,"Barkley"
"Verrucaria","14050",11,"Barkley"
"Balanus glandula","89609",12,"Barkley"
"Balanus nubilus","656266",13,"Barkley"
"Chthamalus dalli","89592",14,"Barkley"
"Halichondria panicea","48396",15,"Barkley"
"Haliclona","47771",16,"Barkley"
"Idotea wosnesenskii","92612",17,"Barkley"
"Katharina tunicata","78979",18,"Barkley"
"Leptasterias","157225",19,"Barkley"
"Littorina sitkana","70397",20,"Barkley"
"Lottia digitalis","567816",21,"Barkley"
"Mopalia","78980",22,"Barkley"
"Mytilus trossulus","567928",23,"Barkley"
"Pagurus","97775",24,"Barkley"
"Pododesmus macrochisma","79792",25,"Barkley"
"Pugettia","98435",26,"Barkley"
"Pycnopodia helianthoides","157274",27,"Barkley"
"Semibalanus cariosus","89688",28,"Barkley"
"Lottia persona","568350",29,"Barkley"
"Lottia scutum","568351",30,"Barkley"
"Tonicella","78897",31,"Barkley"
"Mytilus californianus","79455",32,"Barkley"
"Mazzaella","san47",33,"Barkley"
"Onchidella","78761",34,"Barkley"
"Henricia leviuscula","157157",35,"Barkley"
"Cryptochiton stelleri","79032",36,"Barkley"
"Phascolosomatidae","154883",37,"Barkley"
"Hiatella arctica","81765",38,"Barkley"
"Lacuna","70370",39,"Barkley"
"Nemertea","57411",40,"Barkley"
"Nereididae","65870",41,"Barkley"
"Gammaridea","93295",42,"Barkley"
"Dermasterias imbricata","157139",43,"Barkley"
"Diaulula sandiegensis","78188",44,"Barkley"
"Sabellida","555671",45,"Barkley"
"Nereocystis leutkeana","11277",46,"Barkley"
"Polysiphonia","13440",47,"Barkley"
"Lottia pelta","567823",48,"Barkley"
"Ulvacaea","6501",49,"Barkley"
"Acrosiphoniacaea","6720",50,"Barkley"
"Hydrozoa","48739",51,"Barkley"
"Porphyra","11540",52,"Barkley"
"Hildenbrandia","12295",53,"Barkley"
"Smithora","11523",54,"Barkley"
"Cladophoracaea","6746",55,"Barkley"
"Ophlitaspongia","48005",56,"Barkley"
"Anthopleura","52551",57,"Barkley"
"Pisaster ochraceus","157253",58,"Barkley"
"Phyllospadix","39070",59,"Barkley"
"Egregia menzesii","11305",60,"Barkley"
"Calliostoma","69795",61,"Barkley"
"Codiacaea","6895",62,"Barkley"
"Terebellida","555672",63,"Barkley"
"Corraline Crust","san262",64,"Barkley"
"Prionitis","12591",65,"Barkley"
"Tunicata","203347",66,"Barkley"
"Ectoprocta","155470",67,"Barkley"
"Strongylocentrotus purpuratus","157975",68,"Barkley"
"Phaeophyta Crust","san252",69,"Barkley"
"Laminaria","11217",70,"Barkley"
"Pollicipes polymerus","89476",71,"Barkley"
"","",72,"Barkley"
"Petrolisthes","98059",73,"Barkley"
"Desmarestia","11314",74,"Barkley"
"Chlorostoma funebralis","69950",75,"Barkley"
"Archidoris montereyensis","78213",76,"Barkley"
"Oedignathus inermis","97929",77,"Barkley"
"Cancer productus","98672",78,"Barkley"
"Nucella emarginata","73295",79,"Barkley"
"Platyhelminthes","53963",80,"Barkley"
"Macrocystis","11272",81,"Barkley"
"Gunnell","san334",82,"Barkley"
"Alaria","11289",83,"Barkley"
"Sculpin","san265",84,"Barkley"
"Littorina scutulata","70401",85,"Barkley"
"Urticina","52569",86,"Barkley"
"Sphaeromatidae","92283",87,"Barkley"
"Hemigrapsus nudus","99035",88,"Barkley"
"Bittium","71976",89,"Barkley"
"Rhodoglossum affine","12141",90,"Barkley"
"Ligia","93226",91,"Barkley"
"Ceratostoma foliatum","73240",92,"Barkley"
"Chlorophyta Crust","san339",93,"Barkley"
"Evasterias troschelii","157224",94,"Barkley"
"Lithopoma gibberosa","70118",95,"Barkley"
"Gobiesocidae","164457",96,"Barkley"
"Corallina","12322",97,"Barkley"
"Hermissenda crassicornis","78699",98,"Barkley"
"Bacillariophyta","2286",99,"Barkley"
"Cancer oregonensis","98677",100,"Barkley"
"Ralfsia","10853",101,"Barkley"
"Lirabuccinum","73727",102,"Barkley"
"Caprellidae","95375",103,"Barkley"
"Porifera","46861",104,"Barkley"
"Bossiella","12441",105,"Barkley"
"Cucumaria","158191",106,"Barkley"
"Polynoidae","64397",107,"Barkley"
"Epiactis","52562",108,"Barkley"
"Siphonaria thersites","76444",109,"Barkley"
"Dirona","78579",110,"Barkley"
"Cancer gracilis","98676",111,"Barkley"
"Ophiuroidea","157325",112,"Barkley"
"Biofilm Complex","san272",113,"Barkley"
"Ciliophora","46211",114,"Barkley"
"Cyanophycota","601",115,"Barkley"
"Bacteria","202421",116,"Barkley"
"Detritus","san266",117,"Barkley"
"Pyrrophycophyta","9873",118,"Barkley"
"Euphausiidae","95500",119,"Barkley"
"Prasinophyta","9512",120,"Barkley"
"Sarcomastigophora","43781",121,"Barkley"
"Foraminiferida","44030",122,"Barkley"
"Prymnesiophyceae","2135",123,"Barkley"
"Radiolaria","46088",124,"Barkley"
"Ostracoda","84195",125,"Barkley"
"Copepoda","85257",126,"Barkley"
"Nematoda","59490",127,"Barkley"
"Enhydra lutris","180547",128,"Barkley"
"Hemilepidotus hemilepidotus","180547",129,"Barkley"
"Hexagrammos decagrammus","180547",130,"Barkley"
"Sebastes melanops","180547",131,"Barkley"
"Costaria costata","11250",1,"Checklesat"
"Endocladia muricata","12286",2,"Checklesat"
"Fucus gardneri","11341",3,"Checklesat"
"Halosaccion glandiforme","12824",4,"Checklesat"
"Saccharina sessile","11255",5,"Checklesat"
"Mastocarpus papillatus","san12",6,"Checklesat"
"Microcladia","13080",7,"Checklesat"
"Neorhodomela","san21",8,"Checklesat"
"Odonthalia","13583",9,"Checklesat"
"Verrucaria","14050",10,"Checklesat"
"Acmaea mitra","69662",11,"Checklesat"
"Balanus glandula","89609",12,"Checklesat"
"Balanus nubilus","656266",13,"Checklesat"
"Chthamalus dalli","89592",14,"Checklesat"
"Halichondria panicea","48396",15,"Checklesat"
"Haliclona","47771",16,"Checklesat"
"Idotea wosnesenskii","92612",17,"Checklesat"
"Katharina tunicata","78979",18,"Checklesat"
"Leptasterias","157225",19,"Checklesat"
"Littorina sitkana","70397",20,"Checklesat"
"Lottia digitalis","567816",21,"Checklesat"
"Mopalia","78980",22,"Checklesat"
"Mytilus trossulus","567928",23,"Checklesat"
"Nucella canaliculata","73293",24,"Checklesat"
"Pagurus","97775",25,"Checklesat"
"Pododesmus macrochisma","79792",26,"Checklesat"
"Pugettia","98435",27,"Checklesat"
"Pycnopodia helianthoides","157274",28,"Checklesat"
"Semibalanus cariosus","89688",29,"Checklesat"
"Lottia persona","568350",30,"Checklesat"
"Lottia scutum","568351",31,"Checklesat"
"Tonicella","78897",32,"Checklesat"
"Mytilus californianus","79455",33,"Checklesat"
"Mazzaella","san47",34,"Checklesat"
"Onchidella","78761",35,"Checklesat"
"Henricia leviuscula","157157",36,"Checklesat"
"Cryptochiton stelleri","79032",37,"Checklesat"
"Phascolosomatidae","154883",38,"Checklesat"
"Hiatella arctica","81765",39,"Checklesat"
"Lacuna","70370",40,"Checklesat"
"Cucumaria","158191",41,"Checklesat"
"Nemertea","57411",42,"Checklesat"
"Nereididae","65870",43,"Checklesat"
"Gammaridea","93295",44,"Checklesat"
"Dermasterias imbricata","157139",45,"Checklesat"
"Diaulula sandiegensis","78188",46,"Checklesat"
"Enhydra lutris","180547",47,"Checklesat"
"Sabellida","555671",48,"Checklesat"
"Nereocystis leutkeana","11277",49,"Checklesat"
"Polysiphonia","13440",50,"Checklesat"
"Lottia pelta","567823",51,"Checklesat"
"Ulvacaea","6501",52,"Checklesat"
"Acrosiphoniacaea","6720",53,"Checklesat"
"Rostanga pulchra","78211",54,"Checklesat"
"Hydrozoa","48739",55,"Checklesat"
"Tunicata","203347",56,"Checklesat"
"Porphyra","11540",57,"Checklesat"
"Hildenbrandia","12295",58,"Checklesat"
"Cladophoracaea","6746",59,"Checklesat"
"Ophlitaspongia","48005",60,"Checklesat"
"Anthopleura","52551",61,"Checklesat"
"Pisaster ochraceus","157253",62,"Checklesat"
"Phyllospadix","39070",63,"Checklesat"
"Egregia menzesii","11305",64,"Checklesat"
"Calliostoma","69795",65,"Checklesat"
"Codiacaea","6895",66,"Checklesat"
"Urticina","52569",67,"Checklesat"
"Terebellida","555672",68,"Checklesat"
"Corraline Crust","san262",69,"Checklesat"
"Prionitis","12591",70,"Checklesat"
"Ectoprocta","155470",71,"Checklesat"
"Strongylocentrotus purpuratus","157975",72,"Checklesat"
"Phaeophyta Crust","san252",73,"Checklesat"
"Laminaria","11217",74,"Checklesat"
"Pollicipes polymerus","89476",75,"Checklesat"
"","",76,"Checklesat"
"Petrolisthes","98059",77,"Checklesat"
"Desmarestia","11314",78,"Checklesat"
"Chlorostoma pulligo","69949",79,"Checklesat"
"Chlorostoma brunnea","69956",80,"Checklesat"
"Chlorostoma funebralis","69950",81,"Checklesat"
"Archidoris montereyensis","78213",82,"Checklesat"
"Crepidula","72619",83,"Checklesat"
"Eupentacta","158187",84,"Checklesat"
"Oedignathus inermis","97929",85,"Checklesat"
"Cancer productus","98672",86,"Checklesat"
"Nucella emarginata","73295",87,"Checklesat"
"Platyhelminthes","53963",88,"Checklesat"
"Macrocystis","11272",89,"Checklesat"
"Gunnell","san334",90,"Checklesat"
"Alaria","11289",91,"Checklesat"
"Porifera","46861",92,"Checklesat"
"Sculpin","san265",93,"Checklesat"
"Littorina scutulata","70401",94,"Checklesat"
"Diodora","69548",95,"Checklesat"
"Sphaeromatidae","92283",96,"Checklesat"
"Hemigrapsus nudus","99035",97,"Checklesat"
"Hemigrapsus oregonensis","99036",98,"Checklesat"
"Bittium","71976",99,"Checklesat"
"Rhodoglossum affine","12141",100,"Checklesat"
"Ligia","93226",101,"Checklesat"
"Ceratostoma foliatum","73240",102,"Checklesat"
"Chlorophyta Crust","san339",103,"Checklesat"
"Evasterias troschelii","157224",104,"Checklesat"
"Lithopoma gibberosa","70118",105,"Checklesat"
"Gobiesocidae","164457",106,"Checklesat"
"Corallina","12322",107,"Checklesat"
"Hermissenda crassicornis","78699",108,"Checklesat"
"Triopha catalinae","78332",109,"Checklesat"
"Bacillariophyta","2286",110,"Checklesat"
"Cancer oregonensis","98677",111,"Checklesat"
"Lirabuccinum","73727",112,"Checklesat"
"Caprellidae","95375",113,"Checklesat"
"Arachnida","82708",114,"Checklesat"
"Bossiella","12441",115,"Checklesat"
"Patiria miniata","157133",116,"Checklesat"
"Polynoidae","64397",117,"Checklesat"
"Pectinidae","79611",118,"Checklesat"
"Epiactis","52562",119,"Checklesat"
"Biofilm Complex","san272",120,"Checklesat"
"Ciliophora","46211",121,"Checklesat"
"Cyanophycota","601",122,"Checklesat"
"Bacteria","202421",123,"Checklesat"
"Detritus","san266",124,"Checklesat"
"Pyrrophycophyta","9873",125,"Checklesat"
"Euphausiidae","95500",126,"Checklesat"
"Prasinophyta","9512",127,"Checklesat"
"Sarcomastigophora","43781",128,"Checklesat"
"Foraminiferida","44030",129,"Checklesat"
"Prymnesiophyceae","2135",130,"Checklesat"
"Radiolaria","46088",131,"Checklesat"
"Ostracoda","84195",132,"Checklesat"
"Copepoda","85257",133,"Checklesat"
"Nematoda","59490",134,"Checklesat"
"Hemilepidotus hemilepidotus","180547",135,"Checklesat"
"Hexagrammos decagrammus","180547",136,"Checklesat"
"Sebastes melanops","180547",137,"Checklesat"
